,name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
46,1383,1,0,4.1,1720,4,62,1355,400.0,5047
47,1129,0,0,4.1,868,1,57,704,1200.0,5047
48,2719,0,0,4.1,520,1,62,248,300.0,5047
49,2245,0,0,3.6,299,1,62,868,300.0,5047
50,2526,1,0,4.1,558,4,62,1547,150.0,537
51,2987,0,0,3.8,39,1,62,1563,350.0,5047
52,1040,1,0,4.2,146,1,9,215,400.0,5047
53,1734,1,0,4.4,4401,30,20,286,600.0,5047
54,1863,0,0,2.6,283,1,20,1156,600.0,5047
55,3023,0,0,3.3,62,1,4,1589,800.0,5047
56,607,0,0,3.7,65,1,62,873,300.0,5047
57,2093,1,0,3.8,71,4,30,959,400.0,5047
58,1468,0,0,3.5,52,1,62,1547,300.0,5047
59,1670,0,0,3.7,130,1,62,1547,200.0,5047
60,994,0,0,3.8,45,1,72,175,400.0,5047
61,302,1,0,4.1,201,1,62,1597,300.0,3461
62,149,1,0,4.0,771,1,20,1589,450.0,4550
63,777,0,0,3.0,98,1,4,1196,800.0,5047
64,2538,1,1,4.1,175,30,20,1591,500.0,2674
65,1233,1,0,3.8,540,4,20,1353,650.0,5047
66,2237,1,0,3.8,124,46,62,584,400.0,5047
67,221,1,0,4.1,340,1,72,1392,500.0,5047
68,1372,1,0,3.8,505,1,62,322,450.0,5047
69,2238,1,0,4.1,438,30,30,791,500.0,5047
70,1283,1,0,3.7,264,54,20,1212,750.0,5047
71,3062,1,0,3.7,97,30,62,1386,350.0,5047
72,558,1,0,3.6,195,30,20,597,800.0,5047
73,2725,1,0,4.6,228,30,13,359,400.0,5047
74,2051,1,1,4.1,364,30,20,1665,1200.0,5047
75,1547,1,0,3.7,107,4,9,221,150.0,5047
76,2296,1,0,3.2,167,46,62,1594,300.0,4178
77,925,1,0,4.2,64,4,62,1510,500.0,5047
78,2646,1,0,3.0,290,1,62,1215,450.0,5047
79,824,1,0,4.1,233,4,62,1628,200.0,5047
80,1768,1,0,3.8,115,46,62,863,250.0,5047
